Date,Open,High,Low,Close,Adj Close,Volume
2021-03-16,26.129999,26.145000,25.920000,25.974001,25.974001,559
2021-03-17,25.805000,26.530001,25.795000,26.030001,26.030001,379
2021-03-18,26.434999,26.434999,25.900000,26.320999,26.320999,81
2021-03-19,26.055000,26.292000,26.055000,26.292000,26.292000,194
2021-03-22,25.955000,25.955000,25.540001,25.740999,25.740999,147
2021-03-23,25.615000,25.695000,25.094999,25.200001,25.200001,191
2021-03-24,25.250000,25.344999,25.190001,25.201000,25.201000,432
2021-03-25,25.150000,25.150000,24.504999,25.021999,25.021999,162
2021-03-26,25.184999,25.184999,25.040001,25.091999,25.091999,130
2021-03-29,24.855000,24.910000,24.510000,24.747000,24.747000,491
2021-03-30,24.700001,24.700001,23.965000,24.121000,24.121000,276
2021-03-31,24.320000,24.517000,24.320000,24.517000,24.517000,49
2021-04-01,24.350000,24.934999,24.350000,24.934999,24.934999,15
2021-04-05,24.934999,24.934999,24.763000,24.763000,24.763000,2
2021-04-06,25.049999,25.215000,25.049999,25.212000,25.212000,3
2021-04-07,25.065001,25.250000,25.065001,25.233000,25.233000,2
2021-04-08,25.569000,25.569000,25.569000,25.569000,25.569000,121
2021-04-09,25.311001,25.311001,25.311001,25.311001,25.311001,0
2021-04-12,25.145000,25.165001,24.805000,24.853001,24.853001,55
2021-04-13,25.417000,25.417000,25.417000,25.417000,25.417000,4
2021-04-14,25.514999,25.514999,25.514999,25.514999,25.514999,0
2021-04-15,25.955999,25.955999,25.955999,25.955999,25.955999,95
2021-04-16,26.099001,26.099001,26.099001,26.099001,26.099001,0
2021-04-19,26.205000,26.205000,25.830999,25.830999,25.830999,22
2021-04-20,25.855000,25.855000,25.834999,25.834999,25.834999,5
2021-04-21,26.525000,26.565001,26.525000,26.565001,26.565001,2
2021-04-22,26.340000,26.340000,26.174000,26.174000,26.174000,39
2021-04-23,26.240000,26.240000,26.025000,26.077000,26.077000,36
2021-04-26,26.059999,26.250000,26.059999,26.211000,26.211000,47
2021-04-27,26.412001,26.412001,26.412001,26.412001,26.412001,0
2021-04-28,26.080999,26.080999,26.080999,26.080999,26.080999,62061
2021-04-29,26.280001,26.545000,25.735001,26.052999,26.052999,8571
2021-04-30,26.155001,26.215000,25.840000,25.853001,25.853001,490
2021-05-03,25.875000,27.075001,25.875000,26.943001,26.943001,283
2021-05-04,27.030001,27.040001,26.250000,26.539000,26.539000,266
2021-05-05,26.555000,26.570000,26.270000,26.502001,26.502001,66
2021-05-06,26.559999,27.555000,26.555000,27.462000,27.462000,268
2021-05-07,27.635000,27.635000,27.334999,27.462000,27.462000,304
2021-05-10,27.709999,27.915001,27.370001,27.479000,27.479000,247
2021-05-11,27.285000,27.680000,27.280001,27.657000,27.657000,306
